References, Quantity, Manufacturer, Manufacturer PN
D2;D6,2,Diodes Incorporated,S1A-13-F
CON1,1,Switchcraft,RAPC722X
R14;R13,2,Panasonic,ERJ-P06J220V
X1,1,ECS Inc,ECS-160-20-5PX-TR
C1;C2,2,Kemet,C0805C220K3GACTU
C6,1,Kemet,C0805C105K3RACTU
F1,1,Bourns,MF-MSMF050-2
C8,1,Kemet,T491A226K010AT
R4;R1;R6;R7,4,Panasonic,ERJ-6GEYJ103V
C9;C5;C4;C7;C10;C11;C14;C18;C12;C20;C13,11,Kemet,C0805C104M3RACTU
D1;D5,2,Bourns,CD1206-S01575
D3,1,Kingbright,APT2012SYCK
R9;R10;R11;R12;R18;R8;R5,7,Panasonic,ERJ-6GEYJ102V
D4,1,Kingbright,APT2012EC
U3,1,Microchip,24LC256I/SN
R15;R17;R16,3,Panasonic,ERJ-6GEYJ221V
IC1,1,Fairchild Semiconductor,6N137SM
P2;P3,2,Kobiconn,161-0505-E
C3;C17,2,Kemet,C0805C224K3RACTU
P1;P4;P5,3,FCI,75869-131LF
P1;P4;P5,4,FCI,71600-606LF
VR2;VR1,2,Bourns,CG0603MLC-05E
J1,1,Molex Inc,67068-8000
U1;U8,2,Texas Instruments,LM340MP-5.0/NOPB
U2,1,Atmel,ATMega32U4-AU
SW12,1,TE Connectivity,FSM4JSMA
R2,1,Panasonic,ERJ-6GEY0R00V
U4,1,Microchip,MCP23017-E/SS
RE1;RE2;RE3;RE4;RE5;RE6;RE7;RE8,8,TE Connectivity,V23079E1201B301
J3;J4;J5;J6;J7;J8;J9;J10,8,Neutrik,NSJ8HC
J2;J11,2,Neutrik,NRJ4HF-1
U7;U6,2,Texas Instruments,ULN2803ADW
AFF1,1,Lite-On,LTC-5723HR
U5,1,ams AG,AS1115-BSST
R19,1,Panasonic,ERJ-6GEYJ243V
SW2;SW3;SW4;SW5;SW6;SW7;SW8;SW9;SW10;SW11,10,Apem,5GSH93582
SW2;SW3;SW4;SW5;SW6;SW7;SW8;SW9;SW10;SW11,10,Apem,1ES096
